feature,shap_importance,rank_shap,rf_importance,rank_rf,diff_rank
edad,0.08690677059793323,1,0.2456148210036883,1,0
uso_computador_No,0.07016702406651308,2,0.09168305215979751,3,1
uso_computador_Sí,0.06790202546649812,3,0.09058906254016819,4,1
educ_grupo,0.05372644955286692,4,0.10653017921311811,2,-2
ocupacion_encuestado,0.031161572134110582,5,0.06472646202080608,6,1
gse,0.027319899061190363,6,0.068387224234237,5,-1
frecuencia_internet,0.01440025887388872,7,0.03915189037380756,9,2
sexo_Hombre,0.009414526980330913,8,0.015126302682740874,10,2
sexo_Mujer,0.009114845367174768,9,0.014353988420355852,11,2
region_Antofagasta,0.007495578081382896,10,0.013305361432673633,12,2
acceso_internet_hogar_No,0.005240409378359908,11,0.06026488006252079,7,-4
acceso_internet_hogar_Sí,0.004957944034742525,12,0.058413740033379395,8,-4
region_Los Ríos,0.004372200093396763,13,0.00818674800696822,20,7
region_Maule,0.003227948736075859,14,0.008596024291658984,17,3
region_Biobío,0.0025768256708859033,15,0.007569992186570895,22,7
